Course	Room	Teacher	Time	Students
005119	PK200	0031560	242	0032258 0976318 1041559 
002469	PK11	0697660	242	0032765 0852945 0914290 0914299 
001444	DAL105	0031403	10	0145931 0780528 0834343 0876307 0896036 0909091 0913880 0917702 0950504 0999195 1005149 1006105 1007196 
005724	DAL100A	0031392	242	0145931 0752553 0825990 0867801 0904918 0913115 0914076 0915648 0950811 0967411 0973811 0986262 0987276 0989520 0991668 0991672 1002248 1016996 1057004 1065238 
001248	DAL100A	0031388	38	0419327 0768235 0769943 0770471 0771438 0780619 0788562 0809224 0809463 0812628 0813277 0818384 0818599 0827928 0828596 0829796 0831966 0833695 0857087 0915579 
003001	PK259	0375562	242	0419327 0825616 0899241 0899419 0907155 0915543 1002729 
003003	EHIII	0031406	10	0419327 0828705 0853174 0854724 0881793 0890945 0900240 0903229 0904301 0913466 0918074 0918277 0959092 0967988 0971315 0976318 0976421 0986262 0993268 1002729 1007799 
005727	TH102	0984701	243	0419327 0741632 0920261 1077003 
001749	RCSEM	1064203	243	0556027 0959337 1005199 1013197 1050781 1054176 1064605 1170860 
007375	TAYB	0031631	244	0556027 0742886 0772032 0787159 0813147 0826670 0828394 0848680 0849245 0858114 0870197 0887586 0896476 0900371 0900541 0901409 0903338 0906362 0906635 0912695 0915226 1086329 
008500	PK128	0031619	242	0559777 0657857 0772032 0776956 0786698 0825478 0836904 
003556	PK337	0599596	40	0603589 0670870 0671451 0746084 0771438 0772504 0810196 0828017 0831413 0833941 0850382 0852994 0873190 0899440 
002951	PK232	0088906	242	0634162 0769020 0801247 0854032 0855155 
004065	PK10	0854975	243	0634162 0790880 0805926 0809839 0813159 0827928 0831703 0852409 0867494 
