Course	Room	Teacher	Time	Students
004355	EHI	0847593	17	3417643 3572330 3582182 3759024 3693241 3914814 3695282 3816832 3903861 3227350 3671929 3822201 3893220 3915099 3928826 4062047 
015865	DAL212A	3476032	20	3417643 3693224 3693253 3695784 3817682 3818746 3901669 3774021 3818762 3830308 3631101 3606350 3693565 3956133 3797877 3910500 3910525 3910707 4086222 3558739 3574483 
005847	TAYC	0031582	17	3464954 3816992 3581315 3758075 3824908 3635012 3905460 3904389 3931451 4000862 4002909 4003534 4037591 4090730 3559872 
007010	DAL212A	0162976	1	3464954 3814239 3821687 3852520 3902759 3910179 3913210 3908117 3912597 3846234 3930083 3817427 3930967 3834370 3905885 3913862 3930026 4086457 3768620 3821273 4086499 
013613	PK200	0492580	18	3464954 3819177 3820588 3914813 3915267 3930034 3851913 3928890 3930168 3914724 3823271 3823402 3666161 3797767 3910561 3910588 3910740 4086332 
007380	TH111	0987494	1	3480592 3904320 3797429 3823755 3576460 3910463 3789573 3821766 4175290 
014534	TH104	0031631	17	3480592 3629467 3818746 3774116 3797429 3645720 3816970 3821088 3693185 3928966 3559464 3595163 3663306 3689328 3851846 3797681 3910464 3910474 3910506 3910583 3910680 4086307 4086355 3619216 3821766 4086272 
001844	DAL1	3926311	1	3481664 3759024 3768625 3858042 3788897 3913863 3930070 3913164 3930841 3813457 3910595 4086305 4086471 
001894	PK337	3483424	17	3481664 3580211 3651487 3953805 3668420 3596713 3581967 
013918	TAYSEM	3392421	18	3481664 3694415 3651033 3650874 3669016 3797653 3910617 3910646 3690789 4175491 3819542 
001753	BYC100	3896859	20	3483042 3557742 3903896 3930763 4000980 3857764 3851907 
001767	PK354	3474008	19	3483059 3694741 3930034 3819304 3796974 3904620 3910544 3910589 4095047 3797598 
008770	PK259	3194197	1	3483059 3823405 3914875 3226303 3690806 3914724 3817261 3589576 3930831 4086314 3917445 3903833 
015246	CARP25	0820103	17	3483059 3559319 3667453 3695027 3722992 3788743 3904411 3930547 3823405 3796148 3931959 3693813 3819613 3839352 3901004 3691983 3692761 3930469 3807883 3911048 3788616 3905868 3914371 3929235 3930891 3591844 3694780 3814296 3823151 3904620 3910848 3930220 3903986 3797719 4086474 4090844 3467384 3929894 
002472	PK180	0493725	19	3483977 3580798 3591436 3595071 3606293 3668623 3694481 3575071 3226303 3693280 3689919 3639772 3598090 3498974 3653119 3690346 3691514 3692380 3666161 3668826 3668831 3797645 3797692 3797744 3797829 3797849 3797856 3797819 3668849 
014969	CAN205	0493725	1	3483977 3821006 3931474 3598090 3797645 3797752 3797849 3910563 3671929 
015501	RCCON	1168592	55	3483977 3595071 3929241 3931474 3820756 3716057 3596713 3694039 3797692 3797745 3797829 4086301 
002160	DAL315	1083806	17	3489089 3491953 3521001 3608097 3610120 3638301 3693084 3694712 3695145 3716140 3717137 3789529 3821231 3843290 3901691 3914344 3914515 3929812 3929815 3930608 3693712 3764208 3818025 3930678 3995730 3694428 3799474 3817969 3818024 3722764 3808480 3833378 3852207 3929679 3789283 3915029 3458065 3773692 3796247 3929704 3797164 3903994 3914251 3929849 3774808 3801768 3817487 3818807 3819393 3820768 3861195 3929586 3929954 3930302 3910582 4086300 3994876 4097018 3691794 3790244 3789175 
