Course	Room	Teacher	Time	Students
001849	PK154	0123161	115	0663344 0996066 1033981 3065929 
010842	RCCON	0564741	115	0692830 1009761 1134649 1163719 3068633 3086709 3097468 
002153	PK25	1167863	11	0746108 0858172 0998860 1073211 1075264 1091600 1162423 1162443 1164327 3063119 3065929 3068181 3077505 3080539 3081400 3084117 3087948 3090776 3092411 3092781 3093257 3097592 3098317 3099676 3103166 3105219 3106403 3119909 3120137 3121582 3126433 3126602 3126930 3150160 3152667 3185122 3185376 3188793 3189051 3191834 3192657 3194683 3203991 3204248 3204279 3204495 3204517 3204644 3205337 3210000 3211360 3213412 3213727 3214138 3214704 3217313 3227175 
008439	GIL210	0132890	115	0820385 0899040 0994663 1045527 1047863 1050843 1072036 3065568 3065947 3082688 3083717 3088010 3092532 3098243 3145695 3173096 3211128 3212293 3217408 
008469	GOCOM	0125630	116	0820385 0892947 1078911 1136656 1143180 3068251 3092126 3093349 3216670 
008501	PK354	0031553	83	0820385 0899040 0902364 0980359 0983542 0993172 1001526 1025351 1043203 1045527 1056692 1065966 1069425 1072036 1075221 1076439 
011322	PK154	0028980	95	0820385 0980359 
011198	RCCON	3198088	81	0825075 1150110 3078331 3098276 3100080 3211643 3216420 
002456	EHSEM	0493725	116	0890353 0993172 0994663 1012249 1015916 1032365 1048062 1058076 1085421 1090070 1090632 3061194 3065722 3069318 
002877	ROSTUD	0031582	115	0890353 1036579 1161791 
005157	BYC100	3334598	115	0893684 1058730 1155813 1157995 3079005 3082314 3087431 3089884 3095599 3190633 
005293	PK354	1020104	95	0893684 0984608 1011239 1020671 1032101 1048703 1050014 1068696 1071806 1072571 1073316 1133642 1162792 3069040 3084716 3190633 
005310	PEMSTD	0493855	116	0893684 0984608 0995811 0997834 1003172 1032101 1046598 1050014 1058730 1068696 1069205 
001842	TH110	0031557	83	0897102 1001981 1012505 1012900 1023115 1027570 1049110 1056570 1057174 1059101 1069835 1070296 1071258 1073214 1079289 1093828 1109276 1109686 1135712 1143387 1150448 1151485 1162493 1163125 3062766 3063070 3064869 3065779 3065929 3080539 3084117 3087144 3091176 3093298 3094738 3095337 3098947 
004297	CAN314	3318666	115	0897102 1048518 1079289 1109686 1109742 
006539	TAYC	0777265	116	0898104 0912822 1017801 1049160 1056692 1071866 1073428 1075221 1095145 1129252 3064819 3079829 3092151 3098490 
003482	EHLEC	3320456	119	0898869 0904197 1012792 1030725 1036983 1048742 1050602 1075221 1075329 1085466 1098264 1150448 3065806 3065947 3066711 3067585 3069455 3080539 3080843 3082688 3084658 3090375 3099676 
010965	PK354	0897706	115	0898869 0912194 0940990 0995811 1010605 1012792 1013117 1029963 1049279 1068656 1072178 1076785 3061460 3081410 3089555 3091781 
001182	RCSEM	0493725	95	0899040 3065568 3095867 
011313	TAYE	0672202	12	0899040 0981248 1021988 1048434 1048639 1050480 1050843 1056297 1058367 1080204 1086904 1096573 1115327 1163424 3065947 3067056 3068911 3073216 3078934 3088433 3091221 3100388 3170878 3179110 3204153 3205491 
001890	PK10	3312777	116	0899385 0999166 1001981 1033981 1037801 1049110 1058731 1074572 
003017	EHSEM	0492580	118	0899385 0999166 1058203 1060971 1114293 3065488 3065806 3071798 3084117 3085394 3092333 3093208 3098276 3204243 
001164	TAYF	0601586	83	0900586 1009914 1033981 1049683 1069839 1071343 1092958 1098264 1153036 1156282 1160418 1163179 3057362 3061134 3067214 3067352 3069758 3075104 3078071 3079915 3082033 3088390 3089115 3089580 3090325 3096911 3097192 3099745 3166656 3188879 
007106	GOB	3337003	115	0904197 1060284 1071070 1073428 1134634 1136139 3065806 3065990 3067387 3071694 3077926 3100385 
008812	PK10	0576472	118	0908849 1018066 1069276 3061194 3068167 3070830 3077926 3077943 
011317	BYC100	3194197	117	0908849 0997849 1039740 1068696 1070930 1153554 1161763 3068167 3070830 3077943 
004356	CARP13	0847593	117	0909462 1013149 1050201 3080774 3120137 3125322 3126772 3154498 3155695 3193776 
005738	BYC239	0031543	116	0909462 1017991 1088535 1156628 3067387 3078934 3084716 3190134 3217372 
005742	BYC100	0031543	83	0909462 0996066 1048625 1056807 1057027 1057660 1069276 1088535 3070830 
001839	CARP25	0898918	119	0910971 1003065 1009914 1014289 1017955 1021988 1022159 1030842 1047712 1057174 1057564 1058731 1060971 1076016 1076479 1091481 1143121 1150429 1154430 1155748 1161679 1162725 1163245 3065779 3081400 
001840	PK180	0168763	80	0910971 0994228 1012942 1013439 1026827 1032467 1056807 1057174 1058429 1059799 1059882 1065966 1068431 1076479 1081207 1085421 1091600 1092805 1119061 1129252 1143121 1155748 1162792 1163270 1164327 3061460 3073017 3073483 3079887 3082852 3085643 3086240 3087231 3088047 3088969 3096911 3098242 3099191 3099257 3145520 3152571 
006509	TH111	3194739	118	0910971 1048446 1052099 1080636 1085421 1161531 3083207 3083995 3092151 3093319 3103193 
004083	TAYB	0031578	116	0912194 1011428 1016345 1032253 1057605 1057693 1060148 1069345 1074361 1074374 1136061 
004709	TAYB	3310303	118	0912194 0912822 1050032 1056467 1071343 1071866 1080595 1163245 3069486 3084494 3089769 
011321	EHIII	0028980	115	0912822 0994316 1005493 1036983 1048625 1049237 1049385 1071241 1072571 1097508 3073483 3077931 
006043	GIL101	0554585	119	0940517 0950914 0998866 1018066 1028449 1028647 1047770 1050645 1057605 1058218 1060948 1069904 1073075 1088892 1096638 1135712 1138792 1143387 1151485 3062828 3065016 3066088 3078822 3089763 
006045	PK336	0031526	116	0940517 1016705 3085596 
006060	PK278	0031384	83	0940517 0998866 1005619 1012942 1016705 1018066 1042351 1050645 1057202 1057605 1059756 1069411 1069583 
008764	PK338	0428728	80	0940990 1034403 1049237 1056457 1060148 1069345 1074361 1074374 1093772 1095145 1098264 3061134 3068181 3072097 3079769 3079872 3081720 3082688 3088147 3089555 3090752 3092091 3092411 3093208 3094422 3094527 3095908 3097709 3099184 3100468 3105866 3108691 3110627 3118090 3122181 3125873 3126731 3126930 3152667 3153473 3155033 3163183 3181938 3188879 3191210 3193996 3197905 3204248 3205138 3205324 3210000 3210876 3211081 3211478 3215784 3216244 3216840 3217413 3217434 3217439 3217604 3227175 
006033	EHI	0207327	118	0950914 0980022 0992777 0997504 0998860 1009866 1028647 1047770 1050645 1059673 1059756 1068431 1069583 1074339 1075264 1086556 1088892 1092958 1096638 1096920 1153554 1164327 3062828 3064630 3065016 3089384 3092179 3203791 
