Course	Room	Teacher	Time	Students
011834	PK241	0470839	55	0033322 3337463 3404196 3414238 3421700 3429832 3431155 3431158 3431449 3437589 3439511 3450490 3453218 3454476 3456016 3459980 3460371 3480401 3482018 3483327 3486740 3524066 3530220 3551641 3559591 3560649 3576463 3576535 3576586 3668917 3668975 
001249	TAYB	0031388	65	0310347 3322886 3331180 3339315 3340287 3340324 3359596 3405619 3413283 3415849 3422289 3424520 3425356 3430944 3431158 3431535 3431740 3434428 3434468 3435161 3438472 3439820 
011208	DAL6	3577231	55	0310347 
002562	PK243	1168490	25	1057610 3431740 3433849 3433961 3439917 3441004 3441838 3443421 3460586 3461962 3462298 3463011 3471190 3476418 3479838 3479945 3480867 3481391 3482194 3483278 3485028 3485931 3486382 3486501 3486777 3486838 3508682 3518231 3540124 3540190 3540705 3552259 3559815 3570123 3574967 3575309 3576231 3576375 3576391 3576530 3576534 3576620 3577795 3578075 3650277 3668752 3668792 3668830 3668858 3689348 
003406	PK241	1167851	45	1057610 3441900 3461498 3475950 3476864 3478356 3480734 3510665 3516634 3558739 3558800 3559534 3559537 3559657 3560487 3560770 3575969 3576126 3576763 3577109 3577590 3577806 3578707 3578804 3579414 3580217 3580256 3580586 3581098 3581830 
006024	PK100	3470402	65	1057610 3375323 3439475 3443421 3451557 3459032 3459613 3460235 3462565 3466014 3474620 3475950 3478356 3480217 3480732 3481894 3482264 3482288 3483560 3485290 3486569 3503587 3505157 3516634 3538400 3538688 3555932 3557478 3558739 3559534 3575898 3578804 3578910 3579949 3581135 3581192 3581455 
008770	TH110	0428728	53	1086489 3196460 3337463 3438471 3439387 3441004 3458136 3458957 3462416 3464638 3465050 3466014 3466962 3469615 3476899 3478964 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481967 3483546 3484243 3485228 3486311 3486389 3486777 3487640 3505157 3524963 3538688 3558739 3558838 3559645 3559804 3560308 3574866 3575971 3578910 3579414 3581149 3581952 3668835 3668874 
014124	SW7	3555100	55	1086489 3576357 
002368	TH110	0697660	55	1088365 3416286 3433962 3460359 3463524 3468281 3468749 3477580 3479534 3480166 3483925 3484750 3484763 3486141 3486182 3486844 3487093 3487623 3505185 3510971 3512896 3540190 3555932 3560193 3568636 3576352 3576429 3576494 3576528 3576558 3576763 3576792 3577741 3579949 3580584 3580796 3580798 3650956 3668786 3668826 3668827 3668868 3668907 3668932 3668934 3668957 3668970 3668982 3669051 
002470	EHIII	0697660	65	1088365 3420940 3424594 3433539 3438084 3454497 3462882 3463729 3475298 3479085 3482445 3576325 3576429 
011313	EHLEC	3647219	53	1088365 3415870 3418441 3420037 3421753 3425401 3429566 3429834 3436227 3437589 3440687 3444811 3454497 3459584 3461556 3462298 3463851 3464848 3479945 3481221 3486623 3487040 3510971 3540662 3561704 3576011 3578036 3580139 3581469 
014228	PK337	3648007	25	1088365 3540428 3574563 3577806 3580139 3581247 
001165	TH102	3646621	53	1160238 3359596 3405451 3411059 3416232 3431448 3431672 3451331 3454182 3455058 3463071 3483557 3557478 3561098 3574563 
001176	GOCOM	0031388	55	1160238 3374194 3455419 3462417 3463560 3466011 3468504 3484898 3485028 3485361 3486632 3557478 
012293	SW8	3098022	1	1160238 3466014 3485028 3487090 3581981 
006026	PK241	3470402	25	3196460 3217247 3432357 3435070 3435384 3436227 3437365 3454476 3475941 3479350 3480868 3483306 3483996 3485774 3520100 3525604 3530220 3538928 3560858 3560860 3561772 3574873 3575908 3576334 3576358 3576368 3576435 3668854 3668870 3668874 3668938 3668941 
014206	GOAUD	1079401	32	3196460 3420884 3430131 3432238 3441894 3442335 3443731 3446645 3452874 3453467 3454210 3454476 3454494 3463879 
003278	TAYF	1061861	55	3198263 3437252 
011844	TAYSEM	0031471	25	3213028 3359596 3418907 3426213 3432223 3457917 3484763 3487310 3576306 3576387 
007888	SW8	0470839	65	3217247 3452445 3480401 3576463 3576471 
007040	EHI	0162976	55	3219927 3432243 3433945 3439917 3440024 3463708 3464638 3471745 3478691 3481607 3482194 3482263 3482264 3483085 3487261 3576335 3576515 
013146	TH251	3332662	65	3219927 3430706 3432796 3432798 3433961 3435722 3437089 3460134 
001157	RCSEM	0697660	53	3226303 3439437 3486838 3578963 3692917 
002397	TAYB	0493725	15	3226303 3433829 3452529 3464398 3475298 3477580 3478050 3479355 3480166 3482445 3483925 3484750 3485054 3485816 3486182 3487093 3487276 3487640 3559804 3576336 3576494 3650956 
004010	TH110	3442425	6	3226303 3374194 3412549 3426858 3432357 3440687 3456660 3457777 3460718 3465591 3473086 3479534 3480217 3480728 3480868 3481102 3482194 3485812 3503865 3506324 3508682 3531305 3559872 3561402 3575769 3575898 3575908 3576126 3576763 3577167 3577590 3578963 3579028 3579687 3580217 3580261 3581227 3581786 3581827 3581981 3668920 
014384	RCSEM	0492451	55	3226303 3416424 3431260 3576631 
004888	PK274	0031473	65	3227297 3417166 3425219 3426666 3429566 3433251 3436227 3436514 3437589 3439701 3440508 
011187	DAL1	3194193	1	3227297 3431750 3435397 3436514 3437589 3437591 3438119 3456016 3457393 3457777 3459508 3464263 3475445 
014207	PK127	3554810	55	3227297 3426666 3429706 3458441 
013193	TAYE	0898918	15	3250131 3375120 3375544 3414273 3419470 3431294 3433760 3434130 3435384 3436119 3438374 3445081 3448679 3455631 3456228 3458451 3460867 3463675 
013627	TH102	3459335	1	3250131 3421700 3431672 3432223 3434130 3435384 3443421 3453445 3458972 3459505 3460867 3462514 3463071 3464379 3692269 
013921	CARP15	3483424	53	3250131 3331180 3405604 3415849 3432384 3452561 3453445 3456228 3458972 
001843	TH104	0056992	45	3250227 3378849 3416536 3417172 3425095 3431672 3435384 3437574 3445081 3448679 3451663 3455915 3458451 3460488 3461197 3462416 3463526 3464327 3471190 3474463 3475573 3476797 3478691 3480217 3487261 3576411 3582040 3692269 
003472	CARP15	0058557	55	3250227 3429524 3429732 3452988 3454494 3464666 3465591 3480867 3487621 
013167	GOCOM	0058557	65	3250227 3429732 3438471 3460820 3470797 3483546 3485628 3487316 3518231 3576230 3579116 
002163	PK337	1037239	55	3250683 3453352 3459522 3462270 3463675 3463745 3464027 
002182	PK264	0428815	53	3250683 3381050 3416536 3417172 3430152 3431294 3431449 3435039 3435313 3439328 3453352 3459505 
011827	PK230	1037239	65	3250683 3381050 3430152 3453352 3459522 3462270 3463675 3463745 3464027 
014116	PK328	3555417	25	3254734 3436206 3463524 3468504 3476082 3540662 
001837	DAL300	3452118	25	3264539 3430196 3430401 3441310 3451168 3457873 3459523 3460569 3461063 3462817 3463589 3463776 3470393 3470846 3474140 3475198 3479311 3479976 3480571 3480999 3481203 3481532 3481805 3481813 3481943 3482101 3483511 3485170 3485912 3486379 3486782 3487087 3503382 3514964 3521265 3529298 3538202 3543742 3544945 3549272 3559149 3559870 3560167 3560199 3560373 3561074 3569865 3574137 3574543 3574558 3574639 3575483 3575916 3575928 3576260 3576411 3578747 3578861 3579143 3580269 3580714 3580912 3581038 3581077 3581081 3581085 3581171 3581207 3581220 3581232 3581375 3581456 3581605 3581967 3581999 3650578 3650596 3668933 
002153	PK243	0168378	55	3264539 3429532 3433686 3451724 3457231 3457988 3459972 3461197 3465036 3467093 3468070 3469520 3471447 3471450 3475573 3475933 3477425 3480714 3481690 3481702 3482144 3483298 3483587 3483638 3483929 3485548 3485550 3486852 3487055 3487266 3513947 3514095 3521461 3546891 3556594 3556970 3557244 3559302 3559857 3559963 3576013 3577187 3578811 3579592 3579723 3580248 3580251 3581609 3581920 3581996 3669006 3669016 
006847	DAL119	3427120	53	3417108 3420437 3421500 3427674 3428608 3437534 3438232 3446832 3455625 3455915 3456677 3456722 3458295 3462297 3462639 3462647 3463526 3480375 3480732 3481419 3482739 3483467 3486617 3487041 3582040 
002464	TH104	0910179	25	3322585 3375323 3375629 3381050 3405427 3405619 3415407 3416286 3416374 3420837 3421770 3429602 3429834 3431226 3432796 3438020 3438100 3438102 3439280 3456290 3456820 3458452 3463729 3463879 3481520 3481798 3486182 3559804 
012832	TAYSEM	3689002	53	3322585 3405427 3415769 3416286 3429602 3458452 3482445 3487035 3576390 3576558 
010935	PK264	0031756	25	3322886 3431445 3432243 3458176 3462240 3465591 3486250 3558838 3580159 3581786 3668765 3668895 
013649	TH223	0676083	53	3322886 3431155 
008470	DAL212E	0695890	65	3331179 3449400 3462115 
014213	PK10	3646854	1	3331179 3340287 3433788 3455981 3467452 3474463 3475941 3576037 3578036 3581469 
014218	SW8	0031471	55	3331179 3439387 3483155 3561772 
001840	EHLEC	0168763	1	3331180 3418120 3421500 3432384 3437146 3439670 3455291 3457039 3462292 3462293 3471447 3474620 3476797 3478691 3480668 3480732 3481690 3482739 3483298 3485169 3486617 3486852 3487055 3487316 3510971 3521461 3560308 3576504 3580261 
003432	EHI	3688153	15	3331180 3406406 3434539 3438033 3438465 3454476 3456820 3460371 3467384 3476418 3480734 3486050 3487621 3502893 3520100 3580389 3581228 
003004	PK126	3473854	25	3337463 3404279 3411158 3413774 3431629 3459897 3459980 3464100 3475950 3480836 3482263 3487429 3576329 3576490 3577022 3577485 3581918 3581980 3668875 3668968 
003453	PK274	3688153	63	3337463 3432238 3433539 3451663 3455719 3456820 3462019 3462116 3483155 3484619 3487040 
001242	TH121	0910179	55	3339315 3463776 3469119 3485054 
001247	BYC239	1165566	25	3339315 3420940 
007377	EHII	0031522	55	3339814 3425347 3443731 3454210 3462292 3464306 3485549 3486389 3503587 3552259 3556617 3559537 3576332 3576417 3576448 3576457 3576513 3576627 3578443 3581228 3581250 3581786 3581830 3581913 
007403	DAL2	0031611	43	3339814 3425347 3435070 3435313 3437240 3441900 3447681 3457459 3461962 3462292 3463602 3464379 3474216 3474395 3576386 3576394 3576433 3576439 3576491 3576517 
008429	TAYB	3405054	27	3339814 3377851 3429524 3431260 3431303 3431448 3435628 3436588 3438652 3439588 3455341 3455808 3459111 3459647 3461517 3462458 3465245 3476864 3480423 3481967 3503630 3669019 
014135	PK349	0493855	6	3339814 3340287 3366307 3369702 3375629 3420940 3425114 3429706 3431828 3436514 3438119 3441016 3442991 3456053 3459508 3459823 3465050 3465244 3467384 3475327 3478309 3481221 3484816 3487505 3576417 3576557 3581135 
012303	TAYC	0576472	55	3340003 3406406 3416598 3435161 3438550 3442641 3447478 3454182 3462872 3474216 3483567 3484990 3540428 
014212	PK241	0402773	6	3340003 3375120 3418606 3430953 3432027 3432782 3435734 3435771 3437574 3437978 3438471 3439387 3439636 3441004 3446353 3452874 3453352 3462292 3462606 3464306 3472140 3477580 3482198 3483155 3484272 3486623 3549052 3560487 3580796 3650277 3668760 
006509	PK336	3554648	38	3340324 3413356 3430697 3431060 3438287 3439409 3445738 3453352 3454115 3462990 3480810 3483084 3486133 3486844 3520100 3576306 3576362 3576387 3576485 3576527 3581228 3650636 3668812 
013147	ROSTUD	3332662	55	3359026 3418499 3430298 3431078 3456066 3474598 3487034 
014230	PK274	0031478	55	3359596 3425364 3431651 3457692 3463011 3482198 3576396 3576548 
004017	EHIII	0031578	55	3366307 3416891 3426556 3442237 3448687 3461937 3462290 3465442 3480939 3558800 3576576 3578075 3580095 
005247	GOAUD	0029475	63	3366307 3421770 3425219 3426658 3429810 3431828 3435734 3437978 3439564 3444811 3456053 3465050 3478309 3576344 
014134	PK10	3461286	65	3366307 3426658 3431449 3443522 3455719 3463939 3486609 3579099 
003520	DAL1	3393009	55	3374040 3374569 3418264 3422414 3425114 3444537 3455808 3457393 3457932 3458121 3463879 3464848 
004276	PK100	1165566	63	3374040 3426735 3454059 3456089 3461882 3461937 3463022 3466011 3467040 3477014 3477576 3481798 3483950 3485537 3485756 3486858 3505185 3533264 3559218 3559970 3568636 3574483 3574967 3575769 3576126 3576455 3576629 3579028 3579181 3580389 3581903 3581995 3668826 3668924 3668963 3668989 3669039 3692917 
001474	ROSTUD	3098022	65	3374194 3425095 3429532 3432398 3436206 3436216 
005846	CARP17	3647094	25	3374194 3423839 3463327 3539996 3547282 3576011 3580259 
013171	TAYC	3092941	25	3374470 3425356 3434210 3438999 3442335 3443092 3444537 3451551 3456053 3457808 3458121 3460073 
013636	PK264	0605187	32	3374479 3405427 3423723 3428820 3431651 3437341 3463143 3463919 3480836 3481562 3486787 3561280 
001770	GOAUD	3474420	65	3374569 3426718 3439402 3440687 3457808 3463327 3471745 3479838 3576499 
003441	PK126	0897706	32	3374569 3411059 3415407 3418264 3427633 3436588 3438033 3455808 3459584 3462606 3463602 3465442 3478102 3484990 3486083 3487040 3487732 3576230 3578488 3668851 
001896	PK328	0168763	55	3375120 3404693 3435070 
006851	TAYG	3646602	55	3375323 3436216 3448314 3460338 3477824 3480710 3481202 3482288 3485290 3558543 3564528 3579291 3581192 
011865	TH121	3092832	53	3435692 3450490 3451557 3458176 
001899	TAYSEM	3459335	55	3375389 3375544 3378849 3419470 3430383 3433760 3434130 3435248 3436119 3436930 
006031	PK243	0213446	6	3375389 3423723 3429602 3438254 3445081 3445343 3448314 3452529 3456653 3458087 3460338 3460867 3463439 3463587 3464327 3464850 3465103 3465332 3467781 3469615 3477824 3480668 3480710 3481419 3483651 3485288 3485727 3486569 3486617 3558543 3560770 3564528 3576212 3576420 3576466 3576524 3576879 3577022 3577109 3578921 3579291 3580095 3580397 3580955 3581952 3581980 3668977 
003454	TAYB	0024092	63	3375410 3414205 3439147 3443522 3447306 3454476 3456653 3457393 3460586 3462293 3464666 3474789 3476860 3477004 3478964 3479804 3481354 3484202 3484845 3485642 3486083 3486382 
003460	TH104	3393009	38	3375410 3425401 3426213 3426244 3430131 3431651 3437589 3439147 3440454 3442991 3455519 3457692 3462019 3467427 3481894 3483042 3483278 3484746 3484887 3519499 3524963 3533093 3544254 3551641 3560687 3577054 3578177 3580340 
005157	TAYC	3555100	65	3375544 3416374 3424318 3447306 3458121 3468281 3482989 3544254 3561001 3576303 3576324 3576626 3579687 
001897	PK10	1165566	55	3375629 3420380 3421044 3429602 
013635	PK227	3555097	65	3375685 3433945 3438374 3457039 3464272 3467671 3481391 3481643 3485327 3519078 3576545 3578075 3581031 
014100	PK336	0431946	32	3375685 3404279 3431078 3431158 3435627 3435931 3437574 3438206 3456016 3459508 3463199 3464263 3477580 3482018 3484243 3484845 3559872 3576212 3576392 3576471 3580217 3581249 3668987 
006555	DAL10	3554648	65	3377851 3429810 3430697 3431060 3433501 3443731 3476899 3580341 
006588	DAL315	0777265	55	3377851 3431060 3437329 3438287 3439818 
014383	BYC106	0824088	25	3377851 3422289 3437511 3457459 3457935 3462262 3464985 3484314 3524341 
011209	RCSEM	3577231	65	3379786 3423676 3429199 3436260 3438254 
