Course	Room	Teacher	Time	Students
005725	TAYB	0031543	21	0138353 1075852 1087771 1155700 1156612 3066711 3078258 3087757 3087809 3091890 3204243 3211360 
011306	TAYF	3319825	35	0362014 1045792 1052076 1068656 1070835 1076785 1095813 3098496 3152571 
001837	PK25	0123161	35	0385511 0746108 0794549 0858172 1073230 1096638 1125596 1155110 1155700 1160418 3067214 3077505 3078071 3080546 3082852 3084494 3085021 3087231 3087330 3087533 3088047 3088141 3089555 3090752 3090776 3091218 3092091 3092333 3093208 3093257 3094802 3095337 3095867 3096963 3097075 3098380 3098983 3099257 3119048 3119909 3120137 3125127 3135241 3145520 3158474 3160933 3173096 3173283 3177873 3185620 3190685 3191285 3194428 3204830 3208714 3209232 3210876 3211081 3211473 3218679 
002161	TH110	0301910	39	0385511 0794549 1032467 1057174 1060971 1073230 1081207 1151485 1154430 1155748 1156282 1160418 1161679 1163245 3065779 3068878 3075104 3076209 3078822 3084494 3085643 3087231 3087330 3087527 3087533 3089580 3091221 3091870 3092333 3092408 3094802 3095021 3098983 3104489 3183942 3193776 
006847	TAYE	0031335	44	0385511 0794549 0858172 1022159 1058731 1075329 1125596 1136061 1143387 1156282 3062766 3075104 3076209 3078822 3080539 3085421 3085643 3086192 3088969 3092244 3092532 3099257 3100402 3104489 3181938 3205337 
003034	EHIII	0222805	31	0472799 0992777 0994316 0994663 1014173 1026827 1057202 1058076 1060146 1060805 1074339 
006031	TH224	0431634	43	0472799 0950914 1001389 1059337 1071241 1086556 1155813 1160418 3070495 3072895 3074091 3079774 3079866 3079871 3081503 3081951 3085421 3085643 3087527 3087948 3088264 3089555 3090058 3090752 3091305 3092408 3092532 3092830 3094802 3095021 3095908 3097592 3097709 3108691 3108886 3109227 3110627 3125856 3126433 3145694 3155346 3169335 3177873 3190685 3194888 3204306 3205337 3210876 3215784 3217371 3217543 
011224	PK337	3196642	20	0493741 0997621 1012505 1048518 1059101 3065565 3078958 3098034 3155348 3190685 
011536	PK10	3213249	21	0493741 0997849 1060948 1156277 3062898 3082246 3087328 3179026 
003278	CARP21	0675005	21	0661374 1034757 1057660 
001849	PK154	0123161	21	0663344 0996066 1033981 3065929 
010842	RCCON	0564741	21	0692830 1009761 1134649 1163719 3068633 3086709 3097468 
002153	PK25	1167863	39	0746108 0858172 0998860 1073211 1075264 1091600 1162423 1162443 1164327 3063119 3065929 3068181 3077505 3080539 3081400 3084117 3087948 3090776 3092411 3092781 3093257 3097592 3098317 3099676 3103166 3105219 3106403 3119909 3120137 3121582 3126433 3126602 3126930 3150160 3152667 3185122 3185376 3188793 3189051 3191834 3192657 3194683 3203991 3204248 3204279 3204495 3204517 3204644 3205337 3210000 3211360 3213412 3213727 3214138 3214704 3217313 3227175 
008439	GIL210	0132890	21	0820385 0899040 0994663 1045527 1047863 1050843 1072036 3065568 3065947 3082688 3083717 3088010 3092532 3098243 3145695 3173096 3211128 3212293 3217408 
008469	GOCOM	0125630	35	0820385 0892947 1078911 1136656 1143180 3068251 3092126 3093349 3216670 
008501	PK354	0031553	25	0820385 0899040 0902364 0980359 0983542 0993172 1001526 1025351 1043203 1045527 1056692 1065966 1069425 1072036 1075221 1076439 
011322	PK154	0028980	31	0820385 0980359 
011198	RCCON	3198088	41	0825075 1150110 3078331 3098276 3100080 3211643 3216420 
002456	EHSEM	0493725	35	0890353 0993172 0994663 1012249 1015916 1032365 1048062 1058076 1085421 1090070 1090632 3061194 3065722 3069318 
002877	ROSTUD	0031582	21	0890353 1036579 1161791 
005157	BYC100	3334598	21	0893684 1058730 1155813 1157995 3079005 3082314 3087431 3089884 3095599 3190633 
005293	PK354	1020104	31	0893684 0984608 1011239 1020671 1032101 1048703 1050014 1068696 1071806 1072571 1073316 1133642 1162792 3069040 3084716 3190633 
005310	PEMSTD	0493855	35	0893684 0984608 0995811 0997834 1003172 1032101 1046598 1050014 1058730 1068696 1069205 
001842	TH110	0031557	25	0897102 1001981 1012505 1012900 1023115 1027570 1049110 1056570 1057174 1059101 1069835 1070296 1071258 1073214 1079289 1093828 1109276 1109686 1135712 1143387 1150448 1151485 1162493 1163125 3062766 3063070 3064869 3065779 3065929 3080539 3084117 3087144 3091176 3093298 3094738 3095337 3098947 
004297	CAN314	3318666	21	0897102 1048518 1079289 1109686 1109742 
006539	TAYC	0777265	35	0898104 0912822 1017801 1049160 1056692 1071866 1073428 1075221 1095145 1129252 3064819 3079829 3092151 3098490 
003482	EHLEC	3320456	17	0898869 0904197 1012792 1030725 1036983 1048742 1050602 1075221 1075329 1085466 1098264 1150448 3065806 3065947 3066711 3067585 3069455 3080539 3080843 3082688 3084658 3090375 3099676 
010965	PK354	0897706	21	0898869 0912194 0940990 0995811 1010605 1012792 1013117 1029963 1049279 1068656 1072178 1076785 3061460 3081410 3089555 3091781 
001182	RCSEM	0493725	31	0899040 3065568 3095867 
