Course	Room	Teacher	Time	Students
001839	CAN314	3426758	7	0252627 1156282 3082852 3087533 3089542 3090325 3092781 3119909 3211081 3213727 3214617 3260264 
002151	PK338	1167863	29	0252627 3088571 3191285 3209873 3214617 3218908 3219639 3223468 3223593 3232822 3242147 3243225 3245522 3250904 3252673 3261847 3262890 3293645 3309285 3315613 3315934 3323189 3323454 3323644 3323699 3324108 3329668 3330273 3330597 3330630 3331483 3331578 3331618 3331989 3332580 3332714 3340189 3344476 3351610 3373119 3373472 3374627 3375084 3381343 3382098 3385569 3387721 3388734 3388735 3388882 3389687 3390131 3396570 3397575 3397815 3403581 3403680 3403953 3405286 3405436 3407233 3407265 3407466 3407911 3408274 3408625 3409420 3409792 3410241 
006846	BYC127	1167884	17	0252627 0820816 1073230 1155110 3063119 3068181 3081400 3089555 3092781 3093208 3095460 3098317 3121582 3142378 3189051 3194683 3216609 3249841 3261685 3261847 3306835 3311445 3316653 3323699 3330372 3330439 3332978 3407079 
005732	RCSEM	0031543	32	0460748 3091169 3097080 3098490 3114872 3153306 
004666	PK259	0775640	26	0525775 1155839 3094527 3193288 3211384 3217313 3329812 
008427	BYC127	0125630	32	0692830 1163242 3067133 3077926 3079120 3081073 3087472 3089542 3112040 3113753 3191210 3209872 3213921 3233697 3248326 3283446 3293645 3305222 3319378 3322740 3333219 3333459 3409781 
001836	PK25	0056992	12	0820816 3063119 3114251 3121582 3154498 3204517 3204688 3211006 3216609 3222944 3223468 3232650 3243105 3248182 3250904 3250907 3257376 3266721 3268127 3281747 3283446 3293645 3304008 3306835 3308695 3310852 3311410 3312024 3314945 3316281 3322141 3322720 3323454 3330203 3330597 3332978 3333301 3333501 3347834 3350650 3352587 3358560 3373902 3389987 3397566 3397567 3397573 3398026 3398166 3405873 3405943 3406150 3408041 3409419 
002160	PK180	0004950	29	0820816 3082852 3095908 3098380 3114853 3115992 3142378 3154498 3173096 3177873 3188399 3210074 3211006 3211081 3214147 3215249 3219786 3221922 3227208 3238039 3238414 3239494 3242649 3249841 3250907 3260264 3276024 3281747 3283446 3288377 3303949 3304005 3304008 3306703 3307517 3309190 3310852 3311445 3315632 3315961 3316653 3322149 3322942 3323692 3330372 3331473 3332978 3347031 3373902 3409557 
006867	PK300	3426911	17	0889130 3072284 3074091 3094263 3095021 3099423 3190685 3204495 
007377	PK354	0701976	50	0892947 1155700 3078071 3080512 3087117 3087231 3096808 3100468 3120610 3205329 3218679 3226387 3246661 3296121 3329671 3364522 3373846 3388364 
