Course	Room	Teacher	Time	Students
007125	RCCON	0162976	31	0362014 1012362 1019072 1070812 1074737 1081112 1093453 1097508 1123611 1141987 1163270 3065426 3065806 3067313 3068612 3073034 3077926 3094479 
007127	PK243	0028980	13	0362014 1012362 1019072 1049392 1052099 1057570 1058853 1059804 1068660 1070812 1071318 1073179 1073428 1074737 1081112 1093453 1094952 1097508 1104323 1123611 1136139 1137568 1141766 1141987 1163270 1163883 3059978 3062862 3065426 3065806 3068612 3069318 3071694 3073483 3077926 3078066 
011321	TAYSEM	0028980	57	0362014 1104323 1137568 1163883 3068911 3071694 3078066 3081073 3095290 3096229 3097933 
011838	TH111	0031619	4	0362014 1012362 1049392 1162892 3061460 3066114 3067056 3077931 3081988 3086192 3208714 3211727 3216244 3218034 3223468 3329656 
002571	PEMSTD	0564741	43	0692830 1163719 3068633 3069893 3086709 3097468 
006863	PK300	0402773	31	0889130 1092551 1153307 3074091 3095021 
008427	TAYC	0125630	31	0892947 1149928 3078602 3081698 3091176 3150738 3178019 3190134 3204830 3213402 3264020 3308669 3316819 3330334 3330820 3332425 3332580 
010954	PK328	3401548	4	0892947 3101907 3211393 3257376 
001248	BYC127	0031388	31	0898104 0903788 1058203 1070296 1070620 1072725 1073523 1079503 1080204 1084538 1085421 1087579 1093772 1095813 1107899 1122236 1126437 1130377 1153036 1162493 3064715 3077943 3100011 
005263	CARP17	0493855	57	0898104 1032290 1089244 1118914 1133642 1136656 1162792 3069040 3079829 3081431 3121199 
006044	PK229	0207327	41	0901284 0950914 1080806 1086556 1096920 1131814 1143387 1153554 1155813 1162725 1163719 3062828 3064630 3078822 3079774 3087527 3088264 3088390 3088433 3089763 3091221 3092532 3094802 3204306 3204893 
001213	RCCON	0031471	57	0903788 1058203 1079503 1081304 1084538 1087579 1092958 1098264 1136139 1153036 1163179 3064485 3082033 3083207 3093246 3094738 3099745 3100011 3160008 
001845	TAYSEM	0123161	13	0908849 1143121 3077943 3080546 3084494 3086240 3092091 3204830 3211081 3219428 3323692 
002712	BYC127	0468281	4	0908849 1058068 1071068 1107899 1161763 3064156 
001166	PK328	0135660	10	0910971 1057174 1060971 1071507 1122236 1162384 1163245 3065929 3069758 3070184 3083207 3093246 3095867 3100011 3122857 3123316 3126602 3135241 3188793 3209232 3217778 
001862	PK259	0031557	57	0910971 1057174 1073230 1160418 1161679 1162493 3065779 3075104 3084494 3087533 3089580 3097588 3104489 
006559	CAN311	0031478	31	0910971 3071694 3083207 
001183	PK259	0406445	13	0940115 1122236 1138637 3065560 3065568 3088010 3091218 3093100 3094700 3096808 3126602 3160008 3212787 
001473	BYC100	0031632	31	0940115 1003163 1079349 1090632 1133031 1162390 1164777 
004869	GOA	0053518	23	0940115 1056297 1068953 1163424 3065289 3209936 
004888	TAYD	3092667	4	0940115 1000374 1056297 1059105 1068953 1086904 1093047 1096573 1108799 1131900 1134151 1161791 1163424 3060775 3061759 3062413 3063437 3065289 3073014 3306653 
006059	PK328	0619470	31	0950914 1047770 1051891 1058218 1073075 1075264 1080806 1086556 1088892 1096638 1109564 1131814 1135712 1138792 1143387 1149469 3064630 3064899 3065016 3065591 3066088 3069893 
007396	BYC127	0825571	34	0979769 1058154 1070105 1071785 1096920 1115206 1136145 1139204 1141766 1161804 3057399 3065488 3065560 3066589 3069352 3078150 3080943 3081234 3082073 3087231 3090325 3093411 3097192 
003572	EHLEC	0024092	10	0981248 1010605 1029713 1032290 1049279 1052076 1059663 1068656 1073179 1073672 1076785 1079224 1081394 1083355 1084609 1085466 1085971 1087771 1088535 1092760 1114293 1115327 1119061 1122130 1134634 1135650 1142038 1150110 1150448 1161753 1161782 1162892 1163179 3060791 3061460 3061759 3064819 3064869 3064906 3067156 3070887 3090316 3100385 
011833	PK10	1084371	23	0981248 1059105 3080118 3081179 
011943	GOCOM	3393009	31	0981248 1029713 1076785 1079224 1084609 1161753 1161763 3070887 3084075 
008765	PK338	0428728	32	0994458 1095145 1098264 3068181 3068444 3069585 3079915 3081720 3089555 3090752 3092091 3092411 3094527 3095908 3097009 3104489 3105292 3105866 3110627 3122181 3125873 3126731 3126930 3152667 3153473 3163183 3181938 3188879 3191210 3197905 3204248 3205324 3209784 3209832 3210000 3211081 3211478 3215784 3215889 3216244 3216580 3217434 3217604 3217793 3218335 3219639 3220304 3221557 3221785 3227175 3231914 3232225 3232625 3262172 3264020 3275971 3276024 3311410 3312114 3315676 3315934 3316693 3329187 3329656 3330986 3331776 3332978 
002695	PK200	0138190	31	0997873 1079912 3094422 3213968 
010965	TH104	0897706	4	0997873 1045484 1052076 1073179 1114293 1122130 1134634 3060791 3064906 3069455 3082688 3090316 3092012 3100385 
004876	ROSTUD	0032827	31	1000374 1071986 1161791 3060775 3064156 3072620 3088433 3100388 
004011	EHLEC	3335907	36	1000704 1045484 1135712 3082370 3086995 3090312 3092179 3121966 3149019 3166656 3177063 3210877 3214617 3215769 3239030 3248326 3249531 3254195 3254237 3260308 3261697 3262890 3280006 3282664 3284809 3297368 3302367 3303921 3305222 3315632 3315776 3316906 3323189 3329172 3329671 3330095 3330337 3330377 3330439 3330627 3331473 3331638 3332421 
003037	GOA	0222805	31	1001389 1163125 3067352 3069486 3071798 3077931 
