Course	Room	Teacher	Time	Students
007887	PK264	0470839	55	0171491 3445081 3462246 
008479	CARP25	0031619	55	0700408 3249725 3331179 3340797 3341634 3350812 3352040 3362442 3378849 3389674 3390102 3395942 3397334 3404732 3415407 3416750 3417791 3418117 3420837 3429733 3435922 3439564 3456994 
003275	ROSTUD	0695890	55	0750570 3437511 3440023 3455043 3457808 3457979 3463859 
003416	EHIII	3443571	55	0825970 3404179 3418264 3436212 3437962 3442335 3442991 3451551 3458121 3462606 3485642 
003572	TAYF	0897399	45	0825970 3218706 3223454 3250498 3312777 3314570 3316620 3329409 3337037 3339567 3340683 3340716 3342814 3352054 3353145 3354609 3358228 3358378 3396036 3396206 3397856 3402583 3404204 3404341 3404364 3404976 3412261 3412755 3413146 3414395 3414467 3414657 3416073 3417042 3417273 3417284 3417338 3449263 3459109 
013632	PK354	3443571	11	0825970 3314570 3319863 3404364 3412381 3412755 3425219 3426658 3430131 3435397 3438471 3441838 3442335 3457932 
008763	TH104	0428728	16	1086489 3429810 3430706 3431939 3441004 3450546 3455227 3458136 3458957 3461197 3462416 3464638 3465050 3466962 3468749 3471745 3475745 3476899 3478050 3478964 3479054 3479085 3479350 3479718 3479885 3480069 3480810 3481557 3481967 3483003 3483467 3483546 3484243 3485228 3485288 3485537 3485800 3485812 3486311 3486777 3487276 3487640 
004359	PK128	0847593	53	1089147 3412866 3418058 3435922 3441306 3452964 3461936 3465181 3484334 3486050 
003560	PK10	0031359	33	3093424 3375685 3402583 3416073 3418441 3463879 
007380	TH224	0987494	45	3093424 3094516 3337781 3340879 3343615 3357367 3388485 3396377 3405393 3415619 3417819 3429894 3432027 3432077 3434539 3440116 3442335 3453262 3454115 3455294 3460820 3461469 3474216 3483560 
009342	PK354	0031522	55	3093424 3221877 3339567 3341358 3365419 3389574 3405393 3409210 3414068 3416997 3432077 3433788 3433929 3434539 
012895	PK200	0428011	16	3093424 3250244 3328955 3344151 3357367 3389574 3395299 3398117 3405393 3411254 3411258 3416997 3440116 
008485	PK337	0031553	11	3094516 3331179 3381424 3390102 3396206 3396837 3397012 3404732 
008488	PK337	0031553	16	3094516 3331179 3381424 3390102 3396206 3396837 3397012 3404732 
013712	TH251	3474098	55	3094516 3343615 3357367 3381824 3398117 
007125	TAYD	0162976	55	3099420 3227014 3339061 3351895 3374479 3402910 3404473 3406073 3414201 3416658 3417273 3425578 3426654 3437089 3438473 3438589 
007127	TAYE	0162976	16	3099420 3198918 3250803 3255727 3330264 3330355 3339061 3341253 3342984 3350670 3351895 3352660 3363977 3396208 3402910 3404473 3405604 3405695 3406073 3411136 3413441 3414201 3415175 3415489 3419570 3425578 
009304	DAL1	1137952	33	3103190 3251781 3252368 3330264 3342762 3342814 3344218 3350298 3350812 3355412 3362442 3367107 3395624 3397992 3402266 3411005 3412381 3413574 3417314 3437701 3462936 
013625	BYC106	0029475	36	3103190 3223454 3329409 3352904 3353511 3355412 3362442 3389022 3404386 3412381 3437701 
013633	DAL212E	3555173	61	3103190 3255727 3411159 3414068 3415044 3426719 3464985 3481562 3486844 
013646	TAYSEM	3481299	45	3103190 3198918 3227014 3250803 3331179 3377851 3397807 3405604 3411136 3414124 3417000 3422964 3431828 3435628 3450546 3454210 3455297 3458949 3460073 3463143 3463919 
002464	PK337	3208421	55	3146209 3338762 3414016 3415217 3431226 
002472	TAYC	3208421	11	3146209 3248623 3261815 3330298 3337390 3338762 3358960 3366138 3396492 3398070 3405829 3411546 3412835 3414016 3414124 3415144 3417075 3418094 3458122 
003441	CARP25	0897706	33	3146209 3364639 3412881 3413582 3414467 3415852 3417273 3417512 3422414 3423839 3432243 3434130 3437781 3438999 3443092 3451551 3451557 3453218 3453467 3459647 3476899 3483567 3483925 
