Course	Room	Teacher	Time	Students
005728	PK232	0031543	4	0145661 0917040 1028249 1065238 1096152 
009283	ROSTUD	1084297	22	0145661 0849713 0918064 0951991 1037745 1039831 1079564 
008501	RCSEM	0031553	24	0534728 0746213 0858864 0859719 0860532 0861648 0862152 0871788 0903222 1003539 
004804	DAL318	0348369	24	0672478 0850327 0869575 0904719 0906963 0910421 0947693 1018271 1081939 1085324 1088558 1171297 3072063 3080198 3080592 
005310	TH111	1020104	5	0672478 0819263 0823997 0827772 0861504 0865618 0869670 0883015 0890945 0896487 0918277 
002569	PK232	0564741	24	0700408 0781976 0830862 0958879 0987613 
001837	PK25	0409956	24	0710449 0860257 0884876 0918549 0992796 1004225 1006744 1008967 1009559 1017444 1020150 1021867 1025533 1029566 1034405 1035148 1038420 1041559 1055290 1056688 1056963 1064045 1065142 1066778 1067460 1067933 1068371 1076009 1076989 1078390 1078921 1079363 1079993 1082150 1083594 1088636 1088785 1095157 1098099 1099059 1129814 1142212 1143290 1158007 1169257 1169962 1170071 1170303 3065039 3070344 3070438 3071094 3072447 3072484 3073357 3073666 3074570 3076930 3078073 3080595 
002992	PK229	3093799	19	0710449 0819816 0849245 0849379 0852945 0860532 0899316 0902217 0909240 0918549 0989590 0991672 0999195 1034578 1065271 1065732 1066431 1067502 1094134 1096152 1101031 1101350 1102723 1131602 1143265 1143717 3065039 3067556 3068353 3071094 3072594 3075188 3076190 3076896 3077064 3080198 3081061 3089651 
007405	PK232	0031611	5	0710449 0892206 0900371 1002047 1067377 
004016	PK227	0215359	44	0746210 0852148 0889210 0989432 0992796 1007952 1026650 1059677 1081952 1085106 1141220 1143639 1169402 3067556 3072208 3076896 
002402	EHSEM	3090482	19	0746213 0807750 0859186 0869484 0882728 0887467 0906085 0915622 0918064 1001806 1058058 1066007 3074570 
004275	PK229	0031577	4	0747519 0904680 0909216 0911775 0987861 1005412 1011104 1017840 1018817 1056281 1056970 1057779 1064148 1064385 1067724 1076299 1076923 1077065 1078508 1078648 1081952 1083626 1083627 1084321 1086867 1090564 1111901 1122905 1158362 1169968 1170823 3073138 3074930 3077163 
005161	PK278	0031582	5	0747519 0901262 0909693 0950504 1017492 1018183 1029787 1046086 1049050 1056857 1122784 
001249	PK227	0031471	24	0748765 0773014 0789284 0819118 0830197 0858752 0871255 0881793 0900409 0904540 0909675 0911706 0914260 0915652 0917702 1016462 
001887	PK328	0898918	24	0751788 0820055 0862176 0873557 0885444 0899636 0907897 0954240 0960068 0993506 1172397 
008434	PK227	0031553	5	0751788 0785336 0858034 0886011 0903222 0906085 0906618 0967042 0991672 1002706 1050781 1073544 1077003 1086489 1145578 3076576 
008496	ROSTUD	0031619	19	0751788 0860298 0867153 0900409 0957333 0963413 0988544 1053105 1073544 
006862	EHSEM	0031335	22	0754161 0824299 0830862 0886011 0889210 0909585 0957333 0958186 0989432 0991769 1055590 
004362	RCCON	0989327	24	0755872 0847790 1005068 1077416 1077482 1083431 1100899 
004889	RCSEM	0348369	5	0755872 0856959 0859310 0871309 0899135 0899292 0901481 0911347 0914599 1003476 
002856	PK338	0056990	24	0756739 0897931 0901262 0906447 0987347 0988263 0988603 0988826 0998351 1000750 1001351 1001394 1005059 1005315 1005427 1006105 1006444 1010741 1010750 1011104 1013071 1013197 1017492 1018174 1020083 1020370 1020478 1020727 1023494 1025845 1028249 1029210 1029787 1032769 1032929 1037338 1037541 1040868 1042335 1044157 1044791 1046439 1047339 1049050 1049929 1055441 1055590 1055640 1056012 1056096 1056270 1056320 1056722 1056738 1056857 1056970 1057261 1057535 1057592 1058421 1059677 1063875 1064270 1064605 1064752 1065183 1065196 1065781 1065945 1066308 1066679 1067182 1067251 1067382 1067502 1067862 1068109 1068526 1073544 
004276	PK354	1165566	5	0756739 0904680 0906963 0998351 1003644 1005315 1016462 1018857 1040045 1041559 1058180 1058242 1065945 1067726 1067933 1080149 1086867 1098099 1117264 3076618 3080592 
001842	PK229	0031557	22	0757188 0757321 0773385 0819816 0850382 0853988 0862176 0892236 0904516 0907155 0907897 0908164 0909837 0911936 0912695 0912781 0914509 0915885 0918118 0920095 0959200 0967532 0985094 0989520 0992744 0993506 1002248 1003020 1004733 1006744 1007882 1016462 1021867 1058058 1065142 1067483 1078921 1083594 1088180 
010845	TAYG	3092941	24	0757188 0822518 0833266 0859066 0879882 0907248 0998323 1015275 1019006 
002161	PK349	1083806	29	0757321 0828017 0906963 0915885 0988263 0989590 1004225 1006744 1009729 1017444 1020150 1025533 1025629 1029566 1029787 1036442 1038420 1038671 1040874 1049299 1067460 1068371 1076009 1078680 1078921 3070406 
006847	TAYE	0824244	44	0757321 0773385 0900429 0901688 0903917 0907897 0917334 0920095 0959200 0966077 0966094 0972660 0972861 0988271 0988625 0993506 1002364 1036225 1038671 1045379 1056738 1065142 1080648 1172397 
007017	DAL112	0031568	5	0769851 0917040 0919283 0960068 1001905 1008925 1018252 1024315 1034578 1077416 1081006 1082799 1083626 1101031 1169341 3075745 
007026	GIL210	1075274	22	0769851 0848773 0850607 0852945 0860204 0897091 0905351 0906206 0911775 0915652 0958492 0988826 0999712 1007134 1013071 1020695 1024315 1026650 1027597 1038303 1056970 1078390 1078896 1080757 1081250 1087938 1099662 1105086 1145146 1172030 
007106	CAN314	0031568	24	0769851 0832608 0917040 1007882 3085403 
003029	PEMSTD	0492580	24	0770854 0848719 0858850 0890945 
004036	EHIII	0163316	22	0770854 0859409 0904301 0911856 0913466 0920237 1017832 1019006 1037413 1065271 1067726 1076923 1170479 
